datumstd,anzahlM,verstorben,krankKumuliert,rateM7Tage
2021-05-04,52,0,530,188
2021-05-05,58,0,530,202
2021-05-06,62,2,530,208
2021-05-07,27,1,530,205
2021-05-08,29,0,530,203
2021-05-09,13,0,530,190
2021-05-10,8,3,510,186
2021-05-11,43,0,480,179
2021-05-12,44,0,480,169
2021-05-13,19,1,460,137
2021-05-14,4,0,450,119
2021-05-15,13,1,440,107
2021-05-16,10,1,420,105
2021-05-17,6,0,400,104
2021-05-18,25,0,360,90
2021-05-19,34,0,340,83
2021-05-20,21,1,320,84
2021-05-21,7,1,300,87
2021-05-22,14,0,290,87
2021-05-23,5,0,280,84
2021-05-24,0,0,270,79
2021-05-25,1,0,250,61
2021-05-26,33,0,240,60
2021-05-27,18,1,240,58
2021-05-28,10,1,220,60
2021-05-29,2,0,200,52
2021-05-30,0,0,180,48
2021-05-31,0,0,170,48
2021-06-01,2,0,150,49
2021-06-02,15,0,140,35
2021-06-03,2,0,120,23
2021-06-04,0,1,110,16
2021-06-05,2,0,100,16
2021-06-06,0,0,90,16
2021-06-07,3,1,80,18
2021-06-08,10,1,70,24
2021-06-09,4,0,60,16
2021-06-10,3,0,50,16
2021-06-11,1,0,50,17
2021-06-12,0,0,50,16
2021-06-13,1,0,40,16
2021-06-14,1,0,40,15
2021-06-15,10,0,40,15
2021-06-16,3,0,40,14
2021-06-17,3,0,40,14
2021-06-18,0,0,40,13
2021-06-19,0,0,30,13
2021-06-20,0,0,30,13
2021-06-21,1,0,30,13
2021-06-22,0,0,30,5
2021-06-23,0,0,30,3
2021-06-24,2,1,30,2
2021-06-25,0,0,20,2
2021-06-26,0,0,20,2
2021-06-27,0,0,20,2
2021-06-28,1,0,20,2
2021-06-29,0,0,15,2
2021-06-30,0,0,13,2
2021-07-01,1,1,10,1
2021-07-02,0,0,8,1
2021-07-03,0,0,7,1
2021-07-04,0,0,8,1
2021-07-05,0,0,8,1
2021-07-06,3,0,9,3
2021-07-07,1,0,10,4
2021-07-08,1,0,10,4
2021-07-09,1,0,13,4
2021-07-10,0,0,15,4
2021-07-11,0,0,16,4
2021-07-12,1,0,20,5
2021-07-13,5,0,20,7
2021-07-14,4,0,20,9
2021-07-15,2,0,20,10
2021-07-16,2,0,20,10
2021-07-17,0,0,20,10
2021-07-18,1,0,30,11
2021-07-19,0,0,30,10
2021-07-20,4,0,30,10
2021-07-21,2,0,30,8
2021-07-22,3,0,30,9
2021-07-23,3,0,30,10
2021-07-24,0,0,30,10
2021-07-25,0,0,30,9
2021-07-26,3,0,20,11
2021-07-27,3,0,20,10
2021-07-28,1,0,30,10
2021-07-29,1,0,30,8
2021-07-30,2,0,40,7
2021-07-31,0,0,40,7
2021-08-01,5,0,40,11
2021-08-02,1,0,50,10
2021-08-03,5,0,50,11
2021-08-04,15,0,50,22
2021-08-05,6,0,60,25
2021-08-06,7,0,60,29
2021-08-07,0,0,60,29
2021-08-08,7,0,80,31
2021-08-09,2,0,80,31
2021-08-10,6,0,90,32
2021-08-11,12,0,100,30
2021-08-12,22,0,100,42
2021-08-13,13,0,120,46
2021-08-14,0,0,130,46
2021-08-15,6,0,140,46
2021-08-16,1,1,150,45
2021-08-17,28,0,170,61
2021-08-18,9,0,170,59
2021-08-19,28,0,190,64
2021-08-20,27,0,210,74
2021-08-21,0,0,230,74
2021-08-22,0,0,220,70
2021-08-23,42,0,250,100
2021-08-24,25,0,260,98
2021-08-25,15,0,250,103
2021-08-26,34,0,250,107
2021-08-27,24,0,240,105
2021-08-28,26,0,240,124
2021-08-29,0,0,220,124
2021-08-30,15,0,190,104
